"@timestamp","agent.name","event.code","process.name","process.executable","network.protocol","network.transport","source.ip","destination.ip"
"Jun 10, 2025 @ 10:45:36.637","DESKTOP-NIU0UCP",5058,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.554","DESKTOP-NIU0UCP",1,"MicrosoftEdgeUpdate.exe","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.534","DESKTOP-NIU0UCP",1,"TrustedInstaller.exe","C:\Windows\servicing\TrustedInstaller.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.533","DESKTOP-NIU0UCP",4624,"services.exe","C:\Windows\System32\services.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.533","DESKTOP-NIU0UCP",4672,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.513","DESKTOP-NIU0UCP",1,"svchost.exe","C:\Windows\System32\svchost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.492","DESKTOP-NIU0UCP",5059,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.491","DESKTOP-NIU0UCP",5061,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.485","DESKTOP-NIU0UCP",5058,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.411","DESKTOP-NIU0UCP",1,"ctfmon.exe","C:\Windows\System32\ctfmon.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.271","DESKTOP-NIU0UCP",1,"svchost.exe","C:\Windows\System32\svchost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.270","DESKTOP-NIU0UCP",4624,"services.exe","C:\Windows\System32\services.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.270","DESKTOP-NIU0UCP",4672,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.233","DESKTOP-NIU0UCP",1,"taskhostw.exe","C:\Windows\System32\taskhostw.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.154","DESKTOP-NIU0UCP",1,"taskhostw.exe","C:\Windows\System32\taskhostw.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.111","DESKTOP-NIU0UCP",1,"svchost.exe","C:\Windows\System32\svchost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.101","DESKTOP-NIU0UCP",1,"taskhostw.exe","C:\Windows\System32\taskhostw.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.078","DESKTOP-NIU0UCP",1,"MicrosoftEdgeUpdate.exe","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.049","DESKTOP-NIU0UCP",1,"svchost.exe","C:\Windows\System32\svchost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.030","DESKTOP-NIU0UCP",1,"svchost.exe","C:\Windows\System32\svchost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.014","DESKTOP-NIU0UCP",6000,"-","-","-","-","-","-"
